%Name%,%Sex%,%Dob%,%Ssn%,%Allergies%
"BERNAL,KRISTEN",F,10/14/1964,183-69-8515,
"SLEVIN,KRISTA",F,01/03/1969,567-50-1748,LATEX
"MONS,JESSICA",F,03/06/1944,287-24-8828,
"REUSSWIG,ELIZA",F,08/07/2000,677-18-5084,
"JOHNSON,MARGARET",F,09/23/1988,718-10-7817,NKA
"UNG,VALERIE",F,06/18/1945,699-19-1761,LATEX
"MELNICK,SILVANA",F,04/13/1994,131-31-2737,
"VANG,BELINDA",F,07/29/1965,552-35-4829,
"KISLER,JENNIFER",F,04/16/1982,973-17-8388,
"JEFFREYS,PATRICIA",F,12/31/1959,737-44-1511,
"LASHLEY,NORMA",F,09/02/2002,198-72-9528,PENICILLIN
"BAILIE,GLADYS",F,08/24/1993,500-43-7688,
"KERNS,GRETA",F,07/27/1965,289-44-1580,
"RAINER,SHERELL",F,12/10/1985,744-98-4308,NKA
"PUGH,SHELLY",F,01/02/1959,404-67-5597,
"GASTON,DEBORAH",F,10/17/1995,391-58-2461,PENICILLIN
"CHUMLEY,DONNA",F,03/26/1975,792-48-3938,
"WALSH,TIFFANY",F,01/06/1992,447-72-7996,NKA
"ENOCHS,CAROLYN",F,03/14/1994,641-12-4305,NKA
"BERKOWITZ,MAUREEN",F,10/03/1957,406-54-8704,LATEX
"DINGMAN,SARAH",F,04/26/1987,477-88-5019,LATEX
"REEDER,PEGGY",F,12/05/1971,259-87-2837,PEANUTS
"COLEGROVE,KARON",F,01/31/1999,615-78-3320,
"ALLEY,HELEN",F,04/23/1954,535-49-1246,
"PANGALLO,SAMANTHA",F,07/30/1952,149-99-7193,
"HESS,GLENN",M,07/30/1947,321-55-7554,PEANUTS
"MORFORD,DANIEL",M,11/08/1948,661-81-5661,PENICILLIN
"ROBINSON,ROBERT",M,02/06/1994,557-73-9525,
"OLIN,BRAD",M,05/03/1948,746-83-1104,
"JOST,ROY",M,01/08/2002,602-87-4885,NKA
"PIKE,WILLIAM",M,06/02/1974,802-82-1447,LATEX
"MOLLOY,GREGORY",M,07/02/1968,944-97-8265,
"RUIZ,MICHAEL",M,08/24/1976,705-54-8072,LATEX
"ALBRECHT,JOHN",M,08/08/1949,875-77-4286,
"GRIFFIE,GEORGE",M,12/28/1981,265-65-1302,LATEX
"WILLIAMS,ERNEST",M,09/28/1984,242-54-9242,PENICILLIN
"STEELE,EARL",M,06/23/2002,782-21-1368,NKA
"BRISCOE,JIM",M,10/17/1969,683-17-4223,LATEX
"HONEY,DUANE",M,05/17/1950,733-50-7956,PENICILLIN
"WARREN,SCOTT",M,07/11/1951,677-12-7672,LATEX
"SKIPPER,CHRISTIAN",M,06/01/1942,267-54-9000,
"ADAMS,WILLARD",M,03/08/1977,282-63-1486,NKA
"OGLE,CLINTON",M,09/29/1953,773-87-1314,NKA
"WILLIAMS,JESUS",M,08/13/1943,605-98-2639,
"CLASS,DWIGHT",M,12/05/1962,309-52-6792,LATEX
"JANKOWSKI,ANDREW",M,10/24/1949,464-52-2540,
"BUTTON,JIMMY",M,10/21/1992,552-34-7325,LATEX
"WARNER,VICENTE",M,11/27/1993,455-76-5635,LATEX
"CRAIG,CHARLES",M,10/15/1953,333-86-3872,
"HUTCHERSON,EDWIN",M,02/09/1949,410-73-5505,
