%Name%,%Sex%,%Dob%,%Ssn%,%Allergies%
Alma Lockett,F,11/7/1944,426-32-2433,
Elizabeth Herzog,F,1/24/1945,335-37-9122,PENICILLIN
Violet Payson,F,11/22/1982,188-81-2693,LATEX
Nancy Carrell,F,10/30/2002,563-97-2076,LATEX
Margaret Devilbiss,F,2/23/1954,648-78-3225,PENICILLIN
Sylvia Cournoyer,F,11/22/1976,118-15-7777,
Louise Daily,F,8/10/1991,649-15-6228,
Kimberly Peru,F,6/15/1967,758-79-2846,
Catherine Morlino,F,4/7/2002,142-13-3568,PEANUTS
Marisol Hall,F,3/9/1985,516-85-8917,NKA
Frieda Cunha,F,1/28/1954,389-46-5658,
Elizabeth Gange,F,6/30/1983,468-27-4111,
Carolyn Sullivan,F,11/30/1999,603-68-4758,NKA
Zella Peragine,F,1/23/1987,545-81-5978,
Fidela Ledoux,F,12/20/1989,901-33-4178,LATEX
Matilde Moy,F,11/11/1949,211-79-5570,PEANUTS
Mae Bean,F,3/2/1994,553-45-8920,NKA
Sabrina Dalton,F,8/1/1953,171-62-8235,PEANUTS
Karen Hall,F,6/12/1956,407-22-9680,
Danielle Mcguffin,F,10/25/2000,196-96-7408,
Lena Oubre,F,6/22/1948,286-37-9097,PEANUTS
Eileen Brown,F,3/5/1954,334-45-6480,PEANUTS
Madeline Lee,F,7/18/1983,874-79-4187,PENICILLIN
Deborah Loftis,F,1/10/1991,726-77-5796,
Shelia Williams,F,9/14/1982,993-75-8719,
James Smith,M,7/10/1992,882-22-7188,
Dan Goldblatt,M,10/14/1998,923-11-5359,
Richard Jones,M,4/8/1950,355-47-8356,LATEX
David Lee,M,10/3/1952,661-87-4795,
Gordon Greer,M,5/19/1972,692-12-1988,PEANUTS
William Hall,M,1/28/1953,813-77-4580,NKA
Joseph Hamilton,M,11/26/1970,446-46-8164,
David Foster,M,4/11/1951,482-43-3703,
Albert Keala,M,6/16/1945,647-96-6376,
Henry Beek,M,9/14/1995,337-90-9043,PENICILLIN
Daniel Fisher,M,12/15/1990,425-78-9609,LATEX
Randy Igel,M,5/1/1956,897-26-3174,NKA
Eric Thompson,M,7/9/1991,634-54-8602,
Nicholas Fulcher,M,8/13/1986,481-50-5517,
Chris Beverly,M,8/1/1975,200-83-1082,LATEX
Alan Lawrence,M,1/26/2003,382-28-7333,LATEX
Jose Rutkowski,M,12/9/1973,207-23-8769,PEANUTS
Anthony Mcgovern,M,9/14/1984,766-70-7885,PENICILLIN
Tyler Mora,M,7/30/1984,145-67-7317,
Angel Guajardo,M,10/12/1956,235-51-6874,PENICILLIN
Melvin Sawyers,M,12/23/1972,780-13-8726,NKA
Carl Lai,M,11/8/1994,339-91-8600,
Larry Yard,M,2/24/1993,357-23-6166,
Jeffrey Morales,M,9/5/1946,945-49-3971,NKA
Walter Chun,M,6/10/1966,948-90-3266,PEANUTS
